R_ID,Name,Elinfo
847,Northern bobwhite,metatarsaltarsometatarsus
848,Northern bobwhite,metatarsaltarsometatarsus
849,large bird,shaftlong bone
850,unknown bone,shaftshaft 
851,marine fish,ribrib
852,Hare,Humerus
853,large mammal,shaftworked shaft fragment
854,Northern bobwhite,metatarsaltarsometatarsus
855,Eastern cottontail,
856,mammal,unknownfragment
857,bird,shaftlong bone
858,Artiodactyl,mandible
859,Artiodactyl,scapula
860,Artiodactyl,patella
861,Dog,McIII
862,large mammal,shaft
863,Hare,mandible
864,Teporingo,
865,Teporingo,
866,Rabbit/hare,Lumbarlumbar
867,Cervid,Radiusmedial condyle and shaft
868,medium-large mammal,shaftneedle
869,Human,"shaftfragment ground to rounded ""spatula"""
870,Hare,MtII
871,Hare,MtIII
872,Hare,MtIV
873,Hare,MtV
874,Dog,Tth upI3
875,large mammal,Ribfrag
876,large mammal,shaftfrag
877,medium-large mammal,shaftneedle
878,medium-large mammal,shaftfrag
879,medium-large mammal,shaftfrag
880,medium mammal,craniumfrag
881,small mammal,shaftfrag
882,mammal,unknownfrag
883,Human,
884,Shell,fragment
885,White-tailed deer,Femurshaft frag and lesser trochanter 
886,White-tailed deer,Tth upp2 o dp2
887,Eastern cottontail,"Pelvis AcetabulumPelvis AcetabulumIl, ish"
888,Northern bobwhite,Femur
889,large mammal,Craniumfrag
890,medium-large mammal,shaftfrag
891,medium-large mammal,shaftfrag
892,medium mammal,ribhead
893,medium mammal,shaftfrag
894,bird,unknownfrag
895,White-tailed deer,Humerusshaft frag and nutrient foramina
896,Mexican ground squirrel,Mand/Tth
