Lote,Investigador,Fecha,Criba,Profundidad (cmbd),Volumen (m?),Operaci—n,Unidad,RELATED LOTES FROM HARRIS MATRIX,DATE C14,,Chronology group,,Elemento,Estructura,Cuarto,Relaci—n a otros lotes (estratigraf’a),Descripci—n del sedimento,Interpretaci—n cultural,Flotaci—n
182,DHS,31 VII 13,0.5,,0.0001,17,K21,Earliest layers sobre tepetate,,,1,,Elemento 13,,,"Debajo de 179, en tepetate al E",Tierra limosa medio compactada. Munsell 10YR 5/2,Depresi—n antropogŽnica en tepetate poco profundo con hueso peque–o disarticulado,
183,MRD,31 VII 13,0.5,,0.292,17,I19,Second earliest,,,2,,,,,Debajo de 167,"Tierra compactada, relleno. Munsell 10YR 4/3",Relleno compactado con posible apisonado,X
184,DHS,1 VIII 13,0.5,,0.478,17,J19s,Fourth below,,,3,,,,,Debajo de 152,"Tierra compactada, laminada. Munsell 10YR 4/3",Relleno compactado con posible apisonado,
185,DHS,1 VII 13,0.5,,0.162,17,J19s,Second earliest,,,2,,,,,Debajo de 184,Tierra compactada. Munsell 10YR 4/3,Relleno compactado,
186,MRD,1 VIII 13,0.5,,0.4598,17,I19,Earliest layers sobre tepetate,1790,25,1,,,,,Debajo de 183,Tierra compactada relleno. 10YR 4/3,Nivel sobre tepetate,
187,AGMR,1 VIII 13,0.5,,0.3,17,J22,Second earliest,,,2,,,,,Debajo de 132,Tierra limosa. Munsell 10YR 5/2,Nœcleo de construcci—n con relleno,
188,DHS/BG,1 VIII 13,0.5,,0.21,17,J20,Earliest layers sobre tepetate,,,1,,,,,Debajo de 178,Tierra limosa. Munsell 10YR 4/2,Nœcleo de construcci—n con relleno,
189,AGMR,1 VIII 13,0.5,,0.313,17,I22,Second earliest,,,2,,,,,Debajo de 137,Tierra compacta. Munsell 10YR 5/2,Relleno y deslave,
190,DHS/BG,1 VIII 13,0.5,,0.01,17,J20,Earliest layers sobre tepetate,,,1,,,,,Debajo de 188,Tierra limosa. Munsell 10YR 4/2,Primera ocupaci—n sobre el tepetate,
191,DHS/BG,1 VIII 13,0.5,,0.023,17,K20,Earliest layers sobre tepetate,,,1,,,,,Debajo de 177,Tierra limosa. Munsell 10YR 5/2,Primera ocupaci—n sobre el tepetate,
192,MRD,1 VIII 13,0.5,,0.163,17,H19N,Surface,,,6,,,,,Superficie,"Capa hœmica, tierra org‡nica y ra’ces. Munsell 10YR 4/2",Superficie,
193,DHS/BG,1 VIII 13,0.5,,0.16,17,J19,Earliest layers sobre tepetate,,,1,,,,,Debajo de 185,Tierra compactada. Munsell 10YR 4/3,Relleno compactado con posible apisonado,
194,AGMR,2 VIII 13,0.5,,0.395,17,H21,Second capa,,,5,,,,,Debajo de 89 al N del drenaje,Tierra arenosa y limosa. Munsell 10YR 6/2,Relleno constructivo,
195,AGMR,2 VIII 13,0.5,,0.401,17,H21,Third capa below surface,,,4,,,,,Debajo de 138 al S del drenaje,Tierra arenosa y limosa. Munsell 10YR 6/2,Relleno constructivo,
196,AGMR,2 VIII 13,0.5,,0.05,17,H20,Fourth below,,,3,,,,,Debajo de 129 al N del drenaje,Tierra limosa. Munsell 10YR 5/2,Nœcleo de construcci—n con relleno del drejane,
